"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2.76838","2.76838","2.76838","4.50618","15.4428","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.6612","93.5425","97.17","97.17","97.17","",
"Afghanistan","AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","0.00472257","0.0045614","0.0878913","0.105809","1.22415","2.10712","1.9","1.84","3.55","4","5","5.45455","5.9","7","8.26","11.2","13.5","13.5","13.5","",
"Angola","AGO","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.000775929","0.00567375","0.0184537","0.0719641","0.105046","0.136014","0.270377","0.370682","0.464815","1.14337","1.5","1.7","1.9","2.3","2.8","3.1","6.5","8.9","21.4","12.4","13","14.3391","14.3391","14.3391","",
"Albania","ALB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.0111687","0.0321968","0.0485939","0.0650274","0.081437","0.114097","0.325798","0.390081","0.9719","2.42039","6.04389","9.60999","15.0361","23.86","41.2","45","49","54.656","57.2","60.1","63.2529","66.3634","71.847","71.847","69.6429","",
"Andorra","AND","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1.5266","3.05018","6.88621","7.63569","10.5388","10.5388","11.2605","13.5464","26.838","37.6058","48.9368","70.87","70.04","78.53","81","81","86.4344","94","95.9","96.91","97.9306","91.5675","91.5675","91.5675","",
"Arab World","ARB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.000892638721465371","0.00281560711263805","0.0141128408569409","0.0384612690477479","0.135488156270656","0.270604086988119","0.615844406106004","1.16588720657525","1.59036910409317","2.72740424426968","3.68668395455312","7.08195166291707","8.46429471548645","10.4514459393506","14.2275433125094","17.4014963899426","20.0123308384046","24.1411111240175","26.7538765317274","30.0932481141804","33.1127974376489","36.6238514405909","43.6963356565121","41.4874803442673","49.2601323271529","52.1280852324219","55.7983719285006","",
"United Arab Emirates","ARE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.102939","0.375394","3.29559","6.9083","14.9427","23.6253","26.2718","28.3165","29.478","30.1313","40","52","61","63","64","68","78","85","88","90.4","90.5","90.6","94.8199","98.45","99.15","",
"Argentina","ARG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.00299287","0.0295271","0.043706","0.0862771","0.141955","0.28034","0.830767","3.28448","7.03868","9.78081","10.8821","11.9137","16.0367","17.7206","20.9272","25.9466","28.1126","34","45","51","55.8","59.9","64.7","68.0431","70.969","74.2949","74.2949","74.2949","",
"Armenia","ARM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.00911701","0.0527431","0.0945729","0.111651","0.128659","0.970738","1.30047","1.63109","1.96041","4.57522","4.89901","5.25298","5.63179","6.02125","6.21","15.3","25","32","37.5","41.9","54.6228","59.1024","64.346","64.7449","64.7449","64.7449","",
"American Samoa","ASM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","2.20077","2.85845","3.48054","4.07172","5.30068","6.48223","8.89929","12.5","17.2286","24.2665","27","30","34","38","42","47","52","58","63.4","67.78","70","73","76","76","76","",
"Australia","AUS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.585095","1.0972","1.76876","1.97461","2.2321","2.75965","3.27525","16.3694","30.8132","40.7838","46.7561","52.6893","52.6893","52.6893","52.6893","63","66","69.45","71.67","74.25","76","79.4877","79","83.4535","84","84.5605","86.54","86.545","86.545","86.545","",
"Austria","AUT","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.130369","0.259082","0.642818","0.765343","1.39342","1.89021","6.90916","9.53397","15.4212","23.0443","33.7301","39.1855","36.56","42.7","54.28","58","63.6","69.37","72.87","73.45","75.17","78.74","80.03","80.6188","80.9958","83.9401","84.3237","87.9356","87.7105","87.7522","",
"Azerbaijan","AZE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.00143142","0.00205556","0.00635458","0.0251879","0.0374851","0.0992289","0.147758","0.305565","4.99971","4.99971","4.99971","8.03038","11.9922","14.54","17.08","27.4","46","50","54.2","73","75","77","78.2","79","79.8","79.8","",
